output,metric,value
Utilization Rate,RMSE,0.028500317943862905
Utilization Rate,MAE,0.018269120840587266
Utilization Rate,R2,0.9681266452077097
Charging Load,RMSE,13.463664945413967
Charging Load,MAE,4.784279254098353
Charging Load,R2,0.9824576671016073
